Resource Title,Resource URL,Publisher,Country,,Description,First L2 Tag,Second L2 Tag,Third L2 Tag,Vetter,Reviewed?,L2 Tagger,Technical (Y/N),Notes
Acute Allergic Reactions to mRNA COVID-19 Vaccines | Allergy and ...,https://jamanetwork.com/journals/jama/fullarticle/2777417,JAMA,US,,"Mar 7, 2021 ... This study examines the incidence of acute allergic reactions to mRNA COVID-19 
vaccine administrations in health care employees in ...",,,,Bot,,,,
Neurologic Involvement in Children and Adolescents Hospitalized in ...,https://jamanetwork.com/journals/jamaneurology/fullarticle/2777392,JAMA,US,,"Mar 4, 2021 ... Findings In this study of 1695 patients 21 years or younger hospitalized for acute 
COVID-19 or multisystem inflammatory syndrome, 365 (22%) ...",,,,Bot,,,,
Outcomes and Mortality Among Adults Hospitalized With COVID-19 ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2777028,JAMA,US,,"Mar 4, 2021 ... This cohort study assesses characteristics and outcomes among adults 
hospitalized with coronavirus disease 2019 (COVID-19) at US medical ...",,,,Bot,,,,
Effect of Ivermectin on Time to Resolution of Symptoms Among ...,https://jamanetwork.com/journals/jama/fullarticle/2777389,JAMA,US,,"Mar 3, 2021 ... Question What is the effect of ivermectin on duration of symptoms in adults with 
mild COVID-19? Findings In this randomized clinical trial that ...",,,,Bot,,,,
Approaches for Optimal Use of Different COVID-19 Vaccines: Issues ...,https://jamanetwork.com/journals/jama/fullarticle/2777390,JAMA,US,"4/6/2021, 12:00:00 AM","Mar 3, 2021 ... This Viewpoint proposes ways to maximize vaccine efficacy and allocation given 
the rise of coronavirus variants and authorization of a Johnson ...",,,,Bot,,,,
COVID-19 in 2021—Continuing Uncertainty | Infectious Diseases ...,https://jamanetwork.com/journals/jama/fullarticle/2777391,JAMA,US,"4/13/2021, 12:00:00 AM","Mar 3, 2021 ... This Viewpoint summarizes the current best evidence about COVID-19 vaccines, 
immunity, and whether SARS-CoV-2 will become an endemic ...",,,,Bot,,,,
Alcohol Withdrawal Rates in Hospitalized Patients During the ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2776942,JAMA,US,,"Mar 2, 2021 ... Coronavirus disease 2019 (COVID-19) is disrupting communities across the 
globe, causing physical, mental, and financial distress. Economic ...",,,,Bot,,,,
The Potential Future of the COVID-19 Pandemic: Will SARS-CoV-2 ...,https://jamanetwork.com/journals/jama/fullarticle/2777343,JAMA,US,"4/6/2021, 12:00:00 AM","Mar 2, 2021 ... This Viewpoint discusses the prospect that COVID-19 could become a recurrent 
seasonal disease like influenza and proposes strategies to ...",,,,Bot,,,,
Deferral of Care for Serious Non–COVID-19 Conditions: A Hidden ...,https://jamanetwork.com/journals/jamainternalmedicine/articlepdf/2772349/jamainternal_dejong_2020_er_200012_1611344047.10092.pdf,JAMA,US,,"Feb 27, 2021 ... Author Affiliations: Department of Neurosurgery, Stanford University. Medical 
Center, Stanford, California (Bhambhvani, Rodrigues, Hayden Gephart);.",,,,Bot,,,,
Emerging Lessons From COVID-19 for the US Clinical Research ...,https://jamanetwork.com/journals/jama/fullarticle/2777058,JAMA,US,"3/23/2021, 12:00:00 AM","Feb 25, 2021 ... In this issue of JAMA, Janiaud et al present a meta-analysis of randomized 
clinical trials (RCTs) of convalescent plasma for the treatment of ...",,,,Bot,,,,
Characteristics and Outcomes of US Children and Adolescents With ...,https://jamanetwork.com/journals/jama/fullarticle/2777026,JAMA,US,,"Feb 23, 2021 ... This case series uses national coronavirus disease 2019 (COVID-19) registry 
data to describe the epidemiology, clinical characteristics, ...",,,,Bot,,,,
Sequelae in Adults at 6 Months After COVID-19 Infection | Infectious ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2776560,JAMA,US,,"Feb 18, 2021 ... This cohort study analyzed persistent symptoms among adults with coronavirus 
disease 2019 up to 9 months after illness onset.",,,,Bot,,,,
Posttraumatic Stress Disorder in Patients After Severe COVID-19 ...,https://jamanetwork.com/journals/jamapsychiatry/fullarticle/2776722,JAMA,US,"5/1/2021, 12:00:00 AM","Feb 17, 2021 ... Posttraumatic stress disorder (PTSD) may occur in individuals who have 
experienced a traumatic event. Previous coronavirus epidemics were ...",,,,Bot,,,,
Discriminant Accuracy of the SOFA Score for Determining the ...,https://jamanetwork.com/journals/jama/fullarticle/2776737,JAMA,US,,"Feb 16, 2021 ... The COVID-19 pandemic has raised concern regarding the capacity to provide 
care for a surge of critically ill patients that might require ...",,,,Bot,,,,
The US Regulatory System and COVID-19 Vaccines: The ...,https://jamanetwork.com/journals/jama/fullarticle/2776658,JAMA,US,"3/23/2021, 12:00:00 AM","Feb 14, 2021 ... This Viewpoint examines the important role of the Food and Druf Administration (
FDA) in facilitating the rapid development of coronavirus ...",,,,Bot,,,,
Reports of Anaphylaxis After Receipt of mRNA COVID-19 Vaccines ...,https://jamanetwork.com/journals/jama/fullarticle/2776557,JAMA,US,"3/16/2021, 12:00:00 AM","Feb 11, 2021 ... This JAMA Insights review provides clinical details of anaphylactic reactions 
reported to and verified by the CDC in the first month of use of the ...",,,,Bot,,,,
Factors Associated With Racial Differences in Deaths Among ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2776102,JAMA,US,,"Feb 9, 2021 ... Findings In this cross-sectional study of 13 312 nursing homes in the US, deaths 
among nursing home residents with COVID-19 infection were ...",,,,Bot,,,,
COVID-19 Vaccination in Pregnant and Lactating Women ...,https://jamanetwork.com/journals/jama/fullarticle/2776449,JAMA,US,"3/16/2021, 12:00:00 AM","Feb 7, 2021 ... The primary risk to a pregnancy appears to be from maternal illness. In addition, 
pregnant women may be at higher risk for severe illness and ...",,,,Bot,,,,
Monoclonal Antibodies for COVID-19 | Patient Information | JAMA ...,https://jamanetwork.com/journals/jama/fullarticle/2776307,JAMA,US,"3/9/2021, 12:00:00 AM","Feb 4, 2021 ... This JAMA Patient Page describes use of monoclonal antibodies for treatment of 
nonsevere COVID-19, which may help prevent progression to ...",,,,Bot,,,,
COVID-19 Outcomes Among Persons Living With or Without ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2775827,JAMA,US,,"Feb 2, 2021 ... This cohort study evaluates the association between HIV diagnosis and 
coronavirus disease 2019 diagnosis, hospitalization, and in-hospital ...",,,,Bot,,,,
Can We Protect Pregnant Women and Young Infants From COVID ...,https://jamanetwork.com/journals/jamapediatrics/fullarticle/2775944,JAMA,US,"6/1/2021, 12:00:00 AM","Jan 28, 2021 ... Infection with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) 
during pregnancy and early infancy can result in severe disease.",,,,Bot,,,,
Association of Social and Demographic Factors With COVID-19 ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2775732,JAMA,US,"1/4/2021, 12:00:00 AM","Jan 28, 2021 ... Question Are population-level social factors associated with coronavirus disease 
2019 (COVID-19) incidence and mortality? Findings In this ...",,,,Bot,,,,
Outcomes of COVID-19 Among Hospitalized Health Care Workers in ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2775670,JAMA,US,,"Jan 27, 2021 ... This propensity score–matched multicenter cohort study assesses the 
association between health care worker status and outcomes among ...",,,,Bot,,,,
Association of Psychiatric Disorders With Mortality Among Patients ...,https://jamanetwork.com/journals/jamapsychiatry/fullarticle/2775179,JAMA,US,,"Jan 26, 2021 ... This cohort study examines the incidence of mortality in patients with COVID-19 
who had premorbid diagnoses of schizophrenia spectrum, ...",,,,Bot,,,,
Respiratory and Psychophysical Sequelae Among Patients With ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2775643,JAMA,US,,"Jan 26, 2021 ... Findings In this cohort study of 238 patients with COVID-19 hospitalized in an 
academic hospital in Northern Italy, more than half of participants ...",,,,Bot,,,,
Association of Smoking and Cumulative Pack-Year Exposure With ...,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2775677,JAMA,US,"5/1/2021, 12:00:00 AM","Jan 24, 2021 ... The Cleveland Clinic initiated a COVID-19 registry starting on March 8, ... the 
association of cigarette smoking on adverse COVID-19 outcomes.",,,,Bot,,,,
Change in Reported Adherence to Nonpharmaceutical Interventions ...,https://jamanetwork.com/journals/jama/fullarticle/2775686,JAMA,US,"3/2/2021, 12:00:00 AM","Jan 21, 2021 ... Nonpharmaceutical interventions (NPIs) have been used to mitigate the effects of 
the coronavirus disease 2019 (COVID-19) pandemic. Reports ...",,,,Bot,,,,
Effect of Bamlanivimab as Monotherapy or in Combination With ...,https://jamanetwork.com/journals/jama/fullarticle/2775647,JAMA,US,,"Jan 20, 2021 ... Conclusions and Relevance Among nonhospitalized patients with mild to 
moderate COVID-19 illness, treatment with bamlanivimab and ...",,,,Bot,,,,
Reports of Forgone Medical Care Among US Adults During the ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2775366,JAMA,US,,"Jan 20, 2021 ... This survey study examines the frequency of and reasons for reported forgone 
care among US adults during the COVID-19 pandemic.",,,,Bot,,,,
Allergic Reactions Including Anaphylaxis After Receipt of the First ...,https://jamanetwork.com/journals/jama/fullarticle/2775646,JAMA,US,"2/23/2021, 12:00:00 AM","Jan 20, 2021 ... Following implementation of vaccination, reports of anaphylaxis after the first 
dose of the Pfizer-BioNTech COVID-19 vaccine emerged.",,,,Bot,,,,
Clinical Characteristics and Outcomes of Hospitalized Women ...,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2775396,JAMA,US,"5/1/2021, 12:00:00 AM","Jan 14, 2021 ... Factors associated with in-hospital death or mechanical ventilation use among 
pregnant women with COVID-19 were identified using forward ...",,,,Bot,,,,
Trends in Pediatric Hospitalizations for Coronavirus Disease 2019 ...,https://jamanetwork.com/journals/jamapediatrics/fullarticle/2775008,JAMA,US,"4/1/2021, 12:00:00 AM","Jan 10, 2021 ... We examined pediatric COVID-19 hospitalization trends in 22 states for 
indications of both severity among this population and spread of the virus.",,,,Bot,,,,
Single Dose of Johnson & Johnson COVID-19 Vaccine Candidate ...,https://www.jnj.com/single-dose-of-johnson-johnson-covid-19-vaccine-candidate-demonstrates-robust-protection-in-pre-clinical-studies,www.jnj.com,Unknown,,"Jul 29, 2020 ... Study published in Nature shows J&J's investigational SARS-CoV-2 vaccine 
elicits a strong immune response that protects against subsequent ...",,,,Bot,,,,
How is COVID-19 Affecting Children? What Parents Should Know ...,https://www.jnj.com/road-to-a-vaccine/season-2/how-is-covid-19-affecting-children-what-parents-worldwide-need-to-know,www.jnj.com,Unknown,,"Jul 21, 2020 ... In Episode 3, Ling talks to UNICEF's Henrietta Fore about global efforts to get all 
kids vaccinated. Harvard's Dr. Vikram Patel discusses children's mental health ...",,,,Bot,,,,
What a Child Psychologist Has to Say About COVID-19 | Johnson ...,https://www.jnj.com/personal-stories/what-a-child-psychologist-says-about-covid-19,www.jnj.com,Unknown,"7/21/2020, 1:59:14 PM","Jul 20, 2020 ... Harvard's Dr. Vikram Patel discusses COVID-19 challenges, when things might 
return to normal and what the impact of closing schools has on ...",,,,Bot,,,,
Nurse-led Virtual Series Helps Adolescents Stay Calm and Well ...,https://nursing.jnj.com/nursing-news-events/nurses-leading-innovation/nurse-led-virtual-series-helps-adolescents-stay-calm-and-well-amid-covid-19-pandemic,nursing.jnj.com,Unknown,"7/21/2020, 1:48:46 AM","Jul 19, 2020 ... COVID-19 is taking a significant toll on the mental health of both adults and 
children. A student-led webinar series from The Ohio State ...",,,,Bot,,,,
Meet a COVID-19 Vaccine Researcher Whose Wife Got Sick with the ...,https://www.jnj.com/personal-stories/meet-covid-19-vaccine-researcher-whose-wife-got-sick-with-coronavirus,www.jnj.com,Unknown,"7/13/2020, 11:00:30 AM","Jul 12, 2020 ... Read about Dr. Ramon Polo, a researcher working on a potential COVID-19 
vaccine whose personal experience caring for someone with ...",,,,Bot,,,,
Supporting frontline health workers using digital technologies during ...,https://chwi.jnj.com/news-and-resources/supporting-frontline-health-workers-using-digital-technologies-during-covid-19,chwi.jnj.com,Unknown,"7/10/2020, 10:52:40 AM","Jul 9, 2020 ... These tools can also provide health workers with their own two-way 
communication channels for accessing official COVID-19 information, ...",,,,Bot,,,,
COVID-19 Story Tip: Front-Line Worker Story — Cheryl Connors ...,https://www.hopkinsmedicine.org/news/newsroom/news-releases/covid-19-story-tip-front-line-worker-story--cheryl-connors--rise,www.hopkinsmedicine.org,Unknown,"6/30/2020, 5:00:00 AM","Jun 29, 2020 ... It seems there will never be enough “thank you's” for the incredible doctors, 
nurses, technicians and support staff members who are working ...",,,,Bot,,,,
Nature Medicine,https://www.nature.com/nm/?link_id=N_Nature_1995-present_nature.com,Nature,General,,"Feb 19, 2020 ... Springer Nature is making SARS-CoV-2 and COVID-19 research free. View 
research | View latest news | Sign up for ...",,,,Bot,,,,
White House Demands Rewriting of CDC's COVID-19 Guidelines for ...,https://www.ucsusa.org/resources/attacks-on-science/white-house-demands-rewriting-cdcs-covid-19-guidelines-schools,www.ucsusa.org,Unknown,,"Aug 9, 2020 ... Vice President Mike Pence ordered the CDC to rewrite their school opening 
guidelines for reasons that appeared to be primarily political.",,,,Bot,,,,
COVID-19 Underscores the Need for Voting Reform | Union of ...,https://www.ucsusa.org/resources/covid-19-underscores-need-voting-reform,www.ucsusa.org,Unknown,,"Jul 6, 2020 ... The COVID-19 pandemic has disrupted primary elections across the nation, 
leading sixteen states to postpone their primaries and sharply ...",,,,Bot,,,,
Vaccine Safety | COVID-19 Vaccine Moderna,https://www.modernatx.com/covid19vaccine-eua/recipients/safety,www.modernatx.com,Unknown,,"2 days ago ... View safety information for vaccine recipients about potential side effects of the 
Moderna COVID-19 Vaccine. See EUA Important Safety Information.",,,,Bot,,,,
¿Qué es la vacuna contra la COVID-19 de Moderna (EUA ...,https://www.modernatx.com/covid19vaccine-eua/recipients/es/moderna-vaccine,www.modernatx.com,Unknown,,"24 Ene 2021 ... UU., pero ha sido autorizada para su uso de emergencia por parte de la FDA, en 
virtud de una autorización de uso de emergencia (EUA), para prevenir la ...",,,,Bot,,,,
"COVID-19 Variants Conference Call | Moderna, Inc.",https://investors.modernatx.com/events/event-details/covid-19-variants-conference/,investors.modernatx.com,Unknown,,"Jan 24, 2021 ... COVID-19 Variants Conference Call. Jan 25, 2021 at 4:30 PM EST. Click here for 
webcast. Supporting Materials. COVID-19 Variants Conference Call ...",,,,Bot,,,,
Moderna COVID-19 Vaccine Retains Neutralizing Activity Against ...,https://investors.modernatx.com/news-releases/news-release-details/moderna-covid-19-vaccine-retains-neutralizing-activity-against/,investors.modernatx.com,Unknown,,"Jan 24, 2021 ... Out of an abundance of caution, Moderna launches clinical program to boost 
immunity to emerging variants. Manuscript posted to preprint ...",,,,Bot,,,,
About Our Landmark Trial | pfpfizeruscom,https://www.pfizer.com/science/coronavirus/vaccine/about-our-landmark-trial,Pfizer,General,,"Apr 8, 2021 ... The Phase 3 clinical trial was designed to determine if the Pfizer-BioNTech 
COVID-19 vaccine is safe and effective in preventing COVID-19 disease. This 
trial ...",,,,Bot,,,,
Pfizer-BioNTech Announce Positive Topline Results of Pivotal ...,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-biontech-announce-positive-topline-results-pivotal,Pfizer,General,,"Mar 30, 2021 ... The Pfizer-BioNTech COVID-19 Vaccine, BNT162b2, has not been approved or 
licensed by the U.S. Food and Drug Administration (FDA), but ...",,,,Bot,,,,
Pfizer and BioNTech to Submit Emergency Use Authorization ...,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-biontech-submit-emergency-use-authorization,Pfizer,General,,"Nov 19, 2020 ... ... Authorization Request Today to the U.S. FDA for COVID-19 Vaccine ... 
objective analysis was based on 170 confirmed cases of COVID-19.",,,,Bot,,,,
"Coronavirus disease (COVID-19) Facts, News & Information ...",https://www.pfizer.com/science/coronavirus,Pfizer,General,,"Apr 16, 2020 ... The Pfizer-BioNTech COVID-19 vaccine has not been approved or licensed by 
the U.S. Food and Drug Administration (FDA), but has been authorized for ...",,,,Bot,,,,
Covid-19: Third of people infected have long term symptoms | The BMJ,https://www.bmj.com/content/373/bmj.n1626,www.bmj.com,Unknown,"6/24/2021, 12:00:00 AM","18 hours ago ... At a press briefing to launch the study, Paul Elliott, director of the REACT 
programme and chair in epidemiology and public health medicine at ...",,,,Bot,,,,
How can we manage covid fatigue? | The BMJ,https://www.bmj.com/content/373/bmj.n1610,www.bmj.com,Unknown,"6/24/2021, 12:00:00 AM","22 hours ago ... Chronic fatigue syndrome and long covid: moving beyond the controversy. BMJ 
2021;373:n1559doi:10.1136/bmj.n1559.",,,,Bot,,,,
Management of Long Covid where symptoms overlap with ME/CFS ...,https://www.bmj.com/content/373/bmj.n1559/rr-0,www.bmj.com,Unknown,"6/24/2021, 12:00:00 AM","16 hours ago ... Chronic fatigue syndrome and long covid: moving beyond the controversy. BMJ 
2021; 373 doi: https://doi.org/10.1136/bmj.n1559 (Published 24 ...",,,,Bot,,,,
Covid-19: Should we be worried about reports of myocarditis and ...,https://www.bmj.com/content/373/bmj.n1635,www.bmj.com,Unknown,"6/24/2021, 12:00:00 AM","15 hours ago ... The first reports of a small number of cases of heart inflammation after the Pfizer 
vaccine came from Israel at the end of April.4 On 1 June Israel's ...",,,,Bot,,,,
Re: Chronic fatigue syndrome and long covid: moving beyond the ...,https://www.bmj.com/content/373/bmj.n1559/rr-1,www.bmj.com,Unknown,"6/24/2021, 12:00:00 AM","16 hours ago ... I bring up only the authors of the PACE trials own work, in their own reanalysis 
paper. 'Adaptive Pacing, Cognitive Behaviour Therapy, Graded ...",,,,Bot,,,,
Covid-19: Third of people infected have long term symptoms,https://www.bmj.com/content/373/bmj.n1626.full.pdf,www.bmj.com,Unknown,,"14 hours ago ... The most common persistent symptoms included tiredness, shortness of breath, 
muscle aches, and difficulty sleeping. In addition, the researchers ...",,,,Bot,,,,
How can we manage covid fatigue?,https://www.bmj.com/content/373/bmj.n1610.full.pdf,www.bmj.com,Unknown,,"11 hours ago ... the narratives, research, and publications around long covid can harm patients. 
BMJ Opinion. 23 Jun 2021. https://blogs.bmj.com/bmj/2021/06/23/ ...",,,,Bot,,,,
Sangeetha Kolpattil: Covid-19—do not give up - The BMJ,https://blogs.bmj.com/bmj/2021/06/24/sangeetha-kolpattil-covid-19-do-not-give-up/,blogs.bmj.com,Unknown,"6/24/2021, 10:45:18 AM","14 hours ago ... I am a consultant radiologist working in the UK and contracted a severe case of 
covid-19 during the first wave in 2020. However, I was lucky ...",,,,Bot,,,,
Universal Covid-19 vaccination? NO...NO...NO!!! | The BMJ,https://www.bmj.com/content/373/bmj.n1467/rr,www.bmj.com,Unknown,"6/24/2021, 12:00:00 AM","3 days ago ... (BMJ 2021;373:n1467, June 22) If routine use and pricing of Covid-19 vaccines 
follows the pattern established by influenza vaccines we will be ...",,,,Bot,,,,
Quality of acute myocardial infarction care in England and Wales ...,https://qualitysafety.bmj.com/content/early/2021/06/21/bmjqs-2021-013040,qualitysafety.bmj.com,Unknown,"6/21/2021, 12:00:00 AM","4 days ago ... The COVID-19 pandemic has impacted on the structure and organisation of 
services delivered through the National Health Service (NHS) with ...",,,,Bot,,,,
Mental health in the covid-19 pandemic: we need careful ...,https://blogs.bmj.com/bmj/2021/06/18/mental-health-problems-in-the-covid-19-pandemic-we-need-careful-presentation-and-interpretation-of-facts/,blogs.bmj.com,Unknown,"6/18/2021, 9:54:19 AM","6 days ago ... The mainstream media have reported on these concerns in melodramatic terms, 
using phrases such as a “tsunami” of referrals to mental health ...",,,,Bot,,,,
Some sad and shocking number crunching on Covid-19 casualties ...,https://www.bmj.com/content/373/bmj.n1540/rr-0,www.bmj.com,Unknown,"6/24/2021, 12:00:00 AM","Jun 16, 2021 ... I suppose that going through such figures is rather macabre, quite like visiting a 
graveyard or a morgue. The dead victims stretch out in front of ...",,,,Bot,,,,
"Covid-19: AstraZeneca vaccine linked with small risk of ITP, real ...",https://www.bmj.com/content/373/bmj.n1489,www.bmj.com,Unknown,"6/10/2021, 12:00:00 AM","Jun 9, 2021 ... The AstraZeneca covid-19 vaccine is associated with a small increased risk of 
immune thrombocytopenic purpura (ITP), real world data from ...",,,,Bot,,,,
"Covid-19: Cummings, Johnson, Hancock, and a maelstrom of ...",https://www.bmj.com/content/373/bmj.n1404/rapid-responses,www.bmj.com,Unknown,"6/1/2021, 12:00:00 AM","May 31, 2021 ... Rapid responses are electronic comments to the editor. They enable our users to 
debate issues raised in articles published on bmj.com. A rapid ...",,,,Bot,,,,
Mucormycosis in COVID-19 2nd wave: hypoxia as key trigger and ...,https://www.bmj.com/content/373/bmj.n1238/rr-1,www.bmj.com,Unknown,"6/24/2021, 12:00:00 AM","May 12, 2021 ... Covid-19: India sees record deaths as “black fungus” spreads fear. BMJ 2021 ... 
India is yet battling the second wave of COVID-19 [1] and new ...",,,,Bot,,,,
Covid-19: EMA defends AstraZeneca vaccine as Germany and ...,https://www.bmj.com/content/373/bmj.n883,www.bmj.com,Unknown,"4/1/2021, 12:00:00 AM","Mar 31, 2021 ... 1 These included instances of cerebral venous sinus thrombosis (CVST), the 
agency said. Most but not all cases had occurred in women aged ...",,,,Bot,,,,
Vitamin D and covid-19 | The BMJ,https://www.bmj.com/content/372/bmj.n544,www.bmj.com,Unknown,"3/4/2021, 12:00:00 AM","Mar 3, 2021 ... Observational evidence is also inconsistent. Some, but not all, studies report an 
association between vitamin D deficiency and greater incidence ...",,,,Bot,,,,
Covid-19 vaccine hesitancy among ethnic minority groups | The BMJ,https://www.bmj.com/content/372/bmj.n513,www.bmj.com,Unknown,"2/26/2021, 12:00:00 AM","Feb 25, 2021 ... With mass covid-19 vaccination efforts under way in many countries, including 
the UK, we need to understand and redress the disparities in its ...",,,,Bot,,,,
2020 Pandemic Facebook Post Archive | Covid 19 Posts | Dear ...,https://dearpandemic.org/posts/,dearpandemic.org,Unknown,,"1 day ago ... A full archive of our Dear Pandemic Facebook page posts that can be searched 
with additional posts added being added each day.",,,,Bot,,,,
Estimating risk of death from COVID-19 in China from January to ...,https://www.kyoto-u.ac.jp/en/research-news/2020-06-05,www.kyoto-u.ac.jp,Unknown,,"Jun 4, 2020 ... The analysis -- published by Kenji Mizumoto of Kyoto and Gerardo Chowell of 
Georgia State in Emerging Infectious Diseases -- provides insight ...",,,,Bot,,,,
NY: Children Aged 12-15 Receive COVID-19 Vaccine At American ...,https://firstdraftnews.org/articles/misleading-information-about-vaccinating-children-is-linked-to-old-who-advice/ny-children-aged-12-15-receive-covid-19-vaccine-at-american-museum-of-natural-history/,firstdraftnews.org,Unknown,,"3 days ago ... NY: Children Aged 12-15 Receive COVID-19 Vaccine At American Museum Of 
Natural History. June 23, 2021. First Draft logo. Share. Share on Facebook Share
 ...",,,,Bot,,,,
False claims about 'magnetic' Covid-19 vaccines continue to spread,https://firstdraftnews.org/articles/false-claims-about-magnetic-covid-19-vaccines-continue-to-spread/,firstdraftnews.org,Unknown,"6/10/2021, 7:37:50 AM","Jun 9, 2021 ... During one episode of a talk show hosted by Stew Peters of Red Voice Media, 
Jane Ruby, who described herself as having a medical ...",,,,Bot,,,,
Two US Senators promote misleading Covid-19 claims,https://firstdraftnews.org/articles/two-us-senators-promote-misleading-covid-19-claims/,firstdraftnews.org,Unknown,"6/9/2021, 7:17:59 AM","Jun 8, 2021 ... Influential figures who have expressed skepticism about the severity of the 
coronavirus are continuing to champion false or misleading claims ...",,,,Bot,,,,
Vaccine Misinformation Insights Report: May - First Draft,https://firstdraftnews.org/long-form-article/vaccine-misinformation-insights-report-may/,firstdraftnews.org,Unknown,,"May 31, 2021 ... Vaccine Narratives · Ever since the US and UK Covid-19 vaccine rollouts began 
in December, the idea that these vaccines are experimental and ...",,,,Bot,,,,
Hesitancy behind Hong Kong's low vaccination uptake is driven by ...,https://firstdraftnews.org/articles/hesitancy-behind-hong-kongs-low-vaccination-uptake-is-driven-by-political-tensions/,firstdraftnews.org,Unknown,"5/17/2021, 5:30:03 PM","May 17, 2021 ... Skepticism about the Covid-19 vaccines in Hong Kong is as much a political and 
emotional issue as it is scientific. This is the second part of an ...",,,,Bot,,,,
Chinese-made vaccines are being subject to misleading narratives,https://firstdraftnews.org/articles/sinovac-sinopharm-and-misinformation-online/,firstdraftnews.org,Unknown,"5/11/2021, 10:02:25 AM","May 10, 2021 ... On May 7, the World Health Organization (WHO) listed the Chinese-made 
Sinopharm Covid-19 vaccine for emergency use. “The addition of this ...",,,,Bot,,,,
Vaccine misinformation in Papua New Guinea draws on distrust of ...,https://firstdraftnews.org/articles/vaccine-misinformation-in-papua-new-guinea-draws-on-distrust-of-authorities/,firstdraftnews.org,Unknown,"4/2/2021, 6:17:58 AM","Apr 1, 2021 ... Misinformation may undermine Covid-19 vaccine uptake in Papua New Guinea, 
already struggling with insufficient medical staff and supplies.",,,,Bot,,,,
Pro-Russian networks are driving anti-Pfizer vaccine disinformation,https://firstdraftnews.org/articles/anti-pfizer-vaccine-narratives/,firstdraftnews.org,Unknown,"3/31/2021, 1:00:39 AM","Mar 30, 2021 ... Claims that the Pfizer-BioNTech Covid-19 vaccine is an unsafe experiment for '
guinea pigs' spread across fringe platforms and social media.",,,,Bot,,,,
How we investigated Covid-19 vaccine misinformation on Facebook,https://firstdraftnews.org/articles/how-we-investigated-the-spread-of-covid-19-vaccine-misinformation-on-facebook/,firstdraftnews.org,Unknown,"3/22/2021, 10:26:29 AM","Mar 21, 2021 ... The platform recently announced a ban on false Covid-19 and vaccine claims, so 
we used technical methods to see whether it's working.",,,,Bot,,,,
Fringe health group Comusav promotes chlorine dioxide as a cure ...,https://firstdraftnews.org/articles/comusav-a-fringe-health-group-known-for-spreading-anti-vaccine-sentiment-promotes-chlorine-dioxide-as-a-cure-for-covid-19-online/,firstdraftnews.org,Unknown,"3/17/2021, 7:22:43 AM","Mar 16, 2021 ... Canosa's actions were widely criticized and marked a turning point in the media's 
role in promoting false Covid-19 remedies. The national ...",,,,Bot,,,,
Fringe communities feed on RT coverage to undermine Covid-19 ...,https://firstdraftnews.org/articles/rt-fringe-undermine-covid-vaccinations/,firstdraftnews.org,Unknown,"3/17/2021, 1:00:06 AM","Mar 16, 2021 ... Online anti-vaccination sources are using Russian state-funded media videos 
targeting the Pfizer vaccine to discredit vaccines more broadly.",,,,Bot,,,,
Data deficits around Covaxin contribute to vaccine hesitancy in India,https://firstdraftnews.org/articles/data-deficits-around-covaxin-contribute-to-vaccine-hesitancy-in-india,firstdraftnews.org,Unknown,"3/1/2021, 9:34:53 AM","Feb 28, 2021 ... The world's biggest Covid-19 vaccination drive is underway in India, with the 
ambitious goal of vaccinating 300 million people by July. This has ...",,,,Bot,,,,
The building blocks of reporting and discussing Covid-19 vaccines,https://firstdraftnews.org/wp-content/uploads/2021/02/FD0102_Snapshot-3.pdf?x86275,firstdraftnews.org,Unknown,,"Feb 2, 2021 ... Now more than ever, it is vital for anyone publishing information about 
immunization and vaccines to be aware of the nuances of our modern 
information ...",,,,Bot,,,,
Pfizer/BioNTech US rollout revives vaccine misinformation - First Draft,https://firstdraftnews.org/daily-briefing/pfizer-biontech-us-rollout-revives-vaccine-misinformation/,firstdraftnews.org,Unknown,,"Dec 14, 2020 ... As the US began immunization against Covid-19 yesterday following FDA 
approval of the Pfizer/BioNTech vaccine, misleading information ...",,,,Bot,,,,
UK Covid-19 vaccine rollout sparks false infertility claims - First Draft,https://firstdraftnews.org/daily-briefing/uk-covid-19-vaccine-rollout-sparks-false-infertility-claims/,firstdraftnews.org,Unknown,,"Dec 7, 2020 ... The false narrative, which has gained momentum this week, took off on 
December 1 after Dr. Wolfgang Wodarg and former Pfizer employee ...",,,,Bot,,,,
